Age,Temp,CO2,CH4,GAST_2.5,GAST,GAST_97.5,Eccentricity,Obliquity,Precession
-678,"-6,3468","226,68","492,69","-7,14","-3,92","-1,41","0,03746600772","22,86953517","107,210252"
-677,"-6,8871","215,4","465,83","-6,71","-3,94","-1,48","0,03717016961","22,85296769","124,0550271"
-676,"-5,9253","218,16","539,8","-6,76","-4,08","-1,39","0,03686596114","22,84660031","140,8329096"
-675,"-6,8017","216,53","555,55","-7,44","-4,15","-1,5","0,03642046615","22,85029419","157,7195885"
-674,"-7,5467","207,49","553,57","-7,51","-4,21","-1,69","0,03604534541","22,86403865","174,4352981"
-673,"-7,9434","198,18",524,"-7,57","-4,22","-1,63","0,03561392569","22,88752012","191,2156068"
-672,"-8,2053","192,87","463,68","-7,44","-4,53","-1,56","0,03511142966","22,92025694","208,0202756"
-671,"-7,5615","193,05",483,"-7,37","-4,33","-1,78","0,03463234276","22,96165797","224,6780207"
-670,"-7,249","187,73","422,83","-6,96","-4,18","-1,61","0,03406922548","23,01093741","241,3308857"
-669,"-8,4058","179,07","391,49","-7,11","-3,94","-1,61","0,03356503482","23,06690705","258,0658735"
-668,"-8,916","173,56","376,14","-6,95","-4,03","-1,24","0,03292522763","23,1284442","274,5510605"
-667,"-9,003","172,69","373,7","-6,9","-4,15","-1,12","0,03232723083","23,19410985","291,1103649"
-666,"-9,0473","178,4","379,79","-7,28","-4,43","-1,84","0,03172269326","23,26232768","307,5432529"
-665,"-8,8904","183,33","397,19","-7,44","-4,74","-2,2","0,03101428111","23,33154775","323,9089929"
-664,"-8,1965","189,08","413,32","-8,07","-4,78","-2,26","0,03030860967","23,40021313","340,2339101"
-663,"-7,9274","188,54","393,46","-8,14","-4,88","-1,98","0,0296228062","23,46663131","356,3259353"
-662,"-8,2153","189,11","390,33","-7,82","-4,79","-2,18","0,0288145572","23,52949116","12,53999764"
-661,"-8,5877","186,69","401,1","-7,75","-4,7","-1,99","0,02805082672","23,58731342","28,52454524"
-660,"-8,0408","183,68","374,72","-7,72","-4,73","-2,16","0,02720429716","23,63880584","44,32805068"
-659,"-8,2668","185,79","355,35","-7,53","-4,65","-2,04","0,02639790568","23,68284988","60,24266957"
